t	x	F(x)	F_approx	Error
4.63	-4.295999999999999	0.12045899695978714	0.12045899608579348	8.739936552260019e-10
4.64	-4.288	0.1201880565356834	0.12018805568348306	8.522003380750931e-10
4.65	-4.279999999999999	0.11990942411698544	0.11990942328701527	8.299701620417821e-10
4.66	-4.272	0.11962311753607303	0.11962311672873731	8.073357260496294e-10
4.67	-4.263999999999999	0.11932915511646952	0.11932915433213992	7.843296012666201e-10
4.68	-4.256	0.11902755567166956	0.11902755491068606	7.609834984378949e-10
4.69	-4.247999999999999	0.11871833850393453	0.1187183377666053	7.373292254531094e-10
4.7	-4.24	0.11840152340305775	0.1184015226896599	7.133978546791653e-10
4.71	-4.231999999999999	0.11807713064509741	0.11807712995587742	6.892199866381787e-10
4.72	-4.224	0.11774518099107943	0.11774518032625332	6.648261108299636e-10
4.73	-4.215999999999999	0.11740569568566822	0.11740569504542231	6.402459118426407e-10
4.74	-4.208	0.11705869645580759	0.1170586958402986	6.155089909976041e-10
4.75	-4.199999999999999	0.11670420550932967	0.11670420491868592	5.906437422487087e-10
4.76	-4.192	0.11634224553353417	0.11634224496785517	5.656790036390191e-10
4.7700000000000005	-4.183999999999999	0.11597283969373584	0.11597283915309362	5.406422254328191e-10
4.78	-4.176	0.11559601163178251	0.11559601111622171	5.155608023832414e-10
4.79	-4.167999999999999	0.11521178546454136	0.11521178497408012	4.904612410649989e-10
4.8	-4.16	0.1148201857823561	0.1148201853169863	4.653697982526239e-10
4.8100000000000005	-4.151999999999999	0.11442123764747256	0.11442123720716049	4.4031206458683414e-10
4.82	-4.144	0.11401496659243536	0.11401496617712242	4.1531293681895676e-10
4.83	-4.135999999999999	0.11360139861845318	0.11360139822805665	3.9039653454420176e-10
4.84	-4.128	0.11318056019373537	0.11318055982814859	3.655867830687498e-10
4.8500000000000005	-4.119999999999999	0.1127524782517973	0.11275247791089053	3.409067611537253e-10
4.86	-4.112	0.11231718018973728	0.11231717987335824	3.163790479598916e-10
4.87	-4.103999999999999	0.11187469386648255	0.1118746935744574	2.920251540583507e-10
